문장번호,문장내용,형태소(품사),형태소(단어만)
2789,살림이야 뉘 살림이 되었던,"[('살림', 'Noun'), ('이야', 'Josa'), ('뉘', 'Noun'), ('살림', 'Noun'), ('이', 'Josa'), ('되어다', 'Verb')]","['살림', '뉘', '살림', '되어다']"
2790,그 돈을 졸략히쓰는 방법,"[('그', 'Noun'), ('돈', 'Noun'), ('을', 'Josa'), ('졸략히쓰', 'Noun'), ('는', 'Josa'), ('방법', 'Noun')]","['그', '돈', '졸략히쓰', '방법']"
2791,거기에 우선 깊은 취미를 가지는 사람입니다.,"[('거기', 'Noun'), ('에', 'Josa'), ('우선', 'Noun'), ('깊다', 'Adjective'), ('취미', 'Noun'), ('를', 'Josa'), ('가지다', 'Verb'), ('사람', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['거기', '우선', '깊다', '취미', '가지다', '사람', '이다']"
2792,그러한 때문에,"[('그러하다', 'Adjective'), ('때문', 'Noun'), ('에', 'Josa')]","['그러하다', '때문']"
2793,두부를 세 모를 살 텐데 두 모 반을 못사서 두 모만 산 때라든지,"[('두부', 'Noun'), ('를', 'Josa'), ('세', 'Noun'), ('모르다', 'Verb'), ('살', 'Noun'), ('텐데', 'Eomi'), ('두', 'Noun'), ('모', 'Noun'), ('반', 'Noun'), ('을', 'Josa'), ('못', 'VerbPrefix'), ('사다', 'Verb'), ('두', 'Noun'), ('모만', 'Noun'), ('산', 'Noun'), ('때', 'Noun'), ('라든지', 'Josa')]","['두부', '세', '모르다', '살', '두', '모', '반', '사다', '두', '모만', '산', '때']"
2794,윤직원 영감의 심부름으로 동대문밖을 나가는데 갈 제는 걸어서 가고 올 제만 타고 와서 전차삯 5전을 덜 쓴 때라든지,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('의', 'Josa'), ('심부름', 'Noun'), ('으로', 'Josa'), ('동', 'Modifier'), ('대', 'Modifier'), ('문밖', 'Noun'), ('을', 'Josa'), ('나가다', 'Verb'), ('갈다', 'Verb'), ('제', 'Noun'), ('는', 'Josa'), ('걸다', 'Verb'), ('가다', 'Verb'), ('오다', 'Verb'), ('제만', 'Noun'), ('타고', 'Noun'), ('오다', 'Verb'), ('전차', 'Noun'), ('삯', 'Noun'), ('5', 'Number'), ('전', 'Noun'), ('을', 'Josa'), ('덜', 'Noun'), ('쓸다', 'Verb'), ('때', 'Noun'), ('라든지', 'Josa')]","['윤직', '영감', '심부름', '문밖', '나가다', '갈다', '제', '걸다', '가다', '오다', '제만', '타고', '오다', '전차', '삯', '전', '덜', '쓸다', '때']"
2795,이러한 날은 아껴 쓰고 남긴 그 돈 5전을 연신 들여다보고 들여다보고 하면서 무한히 유쾌해 합니다.,"[('이러하다', 'Adjective'), ('날', 'Noun'), ('은', 'Josa'), ('아끼다', 'Verb'), ('쓰다', 'Verb'), ('남기다', 'Verb'), ('그', 'Noun'), ('돈', 'Noun'), ('5', 'Number'), ('전', 'Noun'), ('을', 'Josa'), ('연신', 'Adverb'), ('들여다보다', 'Verb'), ('들여다보다', 'Verb'), ('하다', 'Verb'), ('무한', 'Noun'), ('히', 'Adverb'), ('유쾌하다', 'Adjective'), ('하다', 'Verb'), ('.', 'Punctuation')]","['이러하다', '날', '아끼다', '쓰다', '남기다', '그', '돈', '전', '들여다보다', '들여다보다', '하다', '무한', '유쾌하다', '하다']"
2796,그 돈 5전을 그렇다고 제 낭탁에다가 넌지시 집어넣느냐하면,"[('그', 'Noun'), ('돈', 'Noun'), ('5', 'Number'), ('전', 'Noun'), ('을', 'Josa'), ('그렇다고', 'Conjunction'), ('제', 'Noun'), ('낭탁', 'Noun'), ('에다가', 'Josa'), ('넌지시', 'Noun'), ('집어넣다', 'Verb'), ('하다', 'Verb')]","['그', '돈', '전', '제', '낭탁', '넌지시', '집어넣다', '하다']"
2797,물론 절대로 없읍니다.,"[('물론', 'Adverb'), ('절대로', 'Noun'), ('없다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['절대로', '없다', '읍니']"
2798,대복이는 그러므로,"[('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('그러므로', 'Conjunction')]",['복']
2799,가령 한 사람의 훌륭한 도락가(道樂家)로 천거 하더라도 결단코 자격에 손색이 없을 겝니다.,"[('가령', 'Noun'), ('하다', 'Verb'), ('사람', 'Noun'), ('의', 'Josa'), ('훌륭하다', 'Adjective'), ('도락', 'Noun'), ('가', 'Josa'), ('(', 'Punctuation'), ('道樂家', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('천거', 'Noun'), ('하다', 'Verb'), ('결단코', 'Adverb'), ('자격', 'Noun'), ('에', 'Josa'), ('손색', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective'), ('겝니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['가령', '하다', '사람', '훌륭하다', '도락', '로', '천거', '하다', '자격', '손색', '없다', '겝니']"
2800,어떤 사람은,"[('어떻다', 'Adjective'), ('사람', 'Noun'), ('은', 'Josa')]","['어떻다', '사람']"
2801,가지각색 고서(古書)를 모으기에 재미를 붙입니다.,"[('가지각색', 'Noun'), ('고서', 'Noun'), ('(', 'Punctuation'), ('古書', 'Foreign'), (')', 'Punctuation'), ('를', 'Noun'), ('모으다', 'Verb'), ('재미', 'Noun'), ('를', 'Josa'), ('붙이다', 'Verb'), ('.', 'Punctuation')]","['가지각색', '고서', '를', '모으다', '재미', '붙이다']"
2802,별 얄망궂은 책들을 다 모으지요.,"[('별', 'Noun'), ('얄망궂', 'Noun'), ('은', 'Josa'), ('책', 'Noun'), ('들', 'Suffix'), ('을', 'Josa'), ('다', 'Adverb'), ('모으다', 'Verb'), ('.', 'Punctuation')]","['별', '얄망궂', '책', '모으다']"
2803,어떤 사람은 화분 가꾸기에 재미를 들입니다.,"[('어떻다', 'Adjective'), ('사람', 'Noun'), ('은', 'Josa'), ('화분', 'Noun'), ('가꾸다', 'Verb'), ('재미', 'Noun'), ('를', 'Josa'), ('들이다', 'Verb'), ('.', 'Punctuation')]","['어떻다', '사람', '화분', '가꾸다', '재미', '들이다']"
2804,올망졸망 화초들을 분에다가 심어놓고 그것을 가축하느라,"[('올망졸망', 'Noun'), ('화초', 'Noun'), ('들', 'Suffix'), ('을', 'Josa'), ('분', 'Noun'), ('에다가', 'Josa'), ('심다', 'Verb'), ('그것', 'Noun'), ('을', 'Josa'), ('가축', 'Noun'), ('하다', 'Verb')]","['올망졸망', '화초', '분', '심다', '그것', '가축', '하다']"
2805,심지어 모필로다가 잎사귀에 앉은 먼지를 털기까지 합니다.,"[('심지어', 'Noun'), ('모필', 'Noun'), ('로', 'Josa'), ('다가', 'Noun'), ('잎사귀', 'Noun'), ('에', 'Josa'), ('앉다', 'Verb'), ('먼지', 'Noun'), ('를', 'Josa'), ('털다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['심지어', '모필', '다가', '잎사귀', '앉다', '먼지', '털다', '하다']"
2806,이러한 도락이 남이 보기에는 곰상스럽기나 했지 아무 소용도 없는 것 같지만,"[('이러하다', 'Adjective'), ('도락', 'Noun'), ('이', 'Josa'), ('남', 'Noun'), ('이', 'Josa'), ('보기', 'Noun'), ('에는', 'Josa'), ('곰', 'Noun'), ('상', 'Suffix'), ('스럽다', 'Adjective'), ('기', 'Noun'), ('나', 'Josa'), ('하다', 'Verb'), ('아무', 'Noun'), ('소용', 'Noun'), ('도', 'Josa'), ('없다', 'Adjective'), ('것', 'Noun'), ('같다', 'Adjective')]","['이러하다', '도락', '남', '보기', '곰', '스럽다', '기', '하다', '아무', '소용', '없다', '것', '같다']"
2807,그걸 하고 있는 당자들은 천하에도 없이 끔직스레 재미가 있읍니다.,"[('그걸', 'Adverb'), ('하다', 'Verb'), ('있다', 'Adjective'), ('당자', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('천하', 'Noun'), ('에도', 'Josa'), ('없이', 'Adverb'), ('끔직스레', 'Noun'), ('재미', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['하다', '있다', '당자', '천하', '끔직스레', '재미', '있다', '읍니']"
2808,마찬가지로,"[('마찬가지', 'Noun'), ('로', 'Josa')]",['마찬가지']
2809,돈을 쓰는데 요모조모로 아끼고 졸이고 깎고 해가면서 군것은 먼저 한낱도 안 붙게시리 씻고 털고 한 새말간 알맹이돈을 만들어 쓰곤 하는 대복이의 그 극치에 다다른 규모도,"[('돈', 'Noun'), ('을', 'Josa'), ('쓰다', 'Verb'), ('요모조모', 'Noun'), ('로', 'Josa'), ('아끼다', 'Verb'), ('졸', 'Noun'), ('이고', 'Josa'), ('깎다', 'Verb'), ('하다', 'Verb'), ('군것', 'Noun'), ('은', 'Josa'), ('먼저', 'Noun'), ('한낱', 'Modifier'), ('도', 'Noun'), ('안', 'Noun'), ('붙다', 'Verb'), ('씻다', 'Verb'), ('털다', 'Verb'), ('하다', 'Verb'), ('새', 'Modifier'), ('말', 'Noun'), ('간', 'Suffix'), ('알맹이', 'Noun'), ('돈', 'Noun'), ('을', 'Josa'), ('만들다', 'Verb'), ('쓰다', 'Verb'), ('하다', 'Verb'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('의', 'Josa'), ('그', 'Noun'), ('극치', 'Noun'), ('에', 'Josa'), ('다다르다', 'Verb'), ('규모', 'Noun'), ('도', 'Josa')]","['돈', '쓰다', '요모조모', '아끼다', '졸', '깎다', '하다', '군것', '먼저', '도', '안', '붙다', '씻다', '털다', '하다', '말', '알맹이', '돈', '만들다', '쓰다', '하다', '복', '그', '극치', '다다르다', '규모']"
2810,그러니까 뻐젓한 도락이 아닐 수가 없 읍니다.,"[('그러니까', 'Adverb'), ('뻐젓', 'Noun'), ('한', 'Josa'), ('도락', 'Noun'), ('이', 'Josa'), ('아니다', 'Adjective'), ('수가', 'Noun'), ('없다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['뻐젓', '도락', '아니다', '수가', '없다', '읍니']"
2811,윤직원 영감과 대복이 사이에는 네 것 내 것이 없읍니다.,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('과', 'Josa'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Josa'), ('사이', 'Noun'), ('에는', 'Josa'), ('네', 'Noun'), ('것', 'Noun'), ('내', 'Noun'), ('것', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['윤직', '영감', '복', '사이', '네', '것', '내', '것', '없다', '읍니']"
2812,죄다 윤직원 영감의 것이요 대복이 것은 하나도 없어서 말입니다.,"[('죄다', 'Adverb'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('의', 'Josa'), ('것', 'Noun'), ('이', 'Suffix'), ('요', 'Josa'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Josa'), ('것', 'Noun'), ('은', 'Josa'), ('하나', 'Noun'), ('도', 'Josa'), ('없다', 'Adjective'), ('말', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['윤직', '영감', '것', '복', '것', '하나', '없다', '말', '이다']"
2813,하기야 윤직원 영감은 대복이를 탁 믿고 월급이니 그런 것은 작정도 없이,"[('하기야', 'Adverb'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('대', 'Modifier'), ('복', 'Noun'), ('이를', 'Josa'), ('탁', 'Noun'), ('믿다', 'Verb'), ('월급', 'Noun'), ('이니', 'Josa'), ('그렇다', 'Adjective'), ('것', 'Noun'), ('은', 'Josa'), ('작정', 'Noun'), ('도', 'Josa'), ('없이', 'Adverb')]","['윤직', '영감', '복', '탁', '믿다', '월급', '그렇다', '것', '작정']"
2814,네 용돈은 네가 알아서 쓰라고 내맡겼은즉,"[('네', 'Noun'), ('용돈', 'Noun'), ('은', 'Josa'), ('네', 'Noun'), ('가', 'Josa'), ('알다', 'Verb'), ('쓰다', 'Verb'), ('내', 'Noun'), ('맡기다', 'Verb')]","['네', '용돈', '네', '알다', '쓰다', '내', '맡기다']"
2815,한 백만 원 집어 쓸 수도 있기는 합니다.,"[('하다', 'Verb'), ('백만', 'Noun'), ('원', 'Noun'), ('집다', 'Verb'), ('쓸다', 'Verb'), ('수도', 'Noun'), ('있다', 'Adjective'), ('하다', 'Verb'), ('.', 'Punctuation')]","['하다', '백만', '원', '집다', '쓸다', '수도', '있다', '하다']"
2816,그러나 대복이에게 매삭 든다는 것이란 게 극히 적고도 겸하여 일정한 것  이어서,"[('그러나', 'Conjunction'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('에게', 'Josa'), ('매', 'Modifier'), ('삭', 'Noun'), ('들다', 'Verb'), ('것', 'Noun'), ('이란', 'Josa'), ('게', 'Noun'), ('극히', 'Noun'), ('적다', 'Verb'), ('겸', 'Noun'), ('하다', 'Verb'), ('일정하다', 'Adjective'), ('것', 'Noun'), ('이어서', 'Adverb')]","['복', '삭', '들다', '것', '게', '극히', '적다', '겸', '하다', '일정하다', '것']"
2817,담배 단풍표 서른 곽과(만약 큰달일라치면 31일날 하루는 모아 둔 꽁초를 피웁니다) 박박 깎는 이발삯 25전과,"[('담배', 'Noun'), ('단풍', 'Noun'), ('표', 'Noun'), ('서른', 'Noun'), ('곽', 'Noun'), ('과', 'Josa'), ('(', 'Punctuation'), ('만약', 'Noun'), ('크다', 'Verb'), ('달이다', 'Verb'), ('치면', 'Noun'), ('31일', 'Number'), ('날', 'Foreign'), ('하루', 'Noun'), ('는', 'Josa'), ('모으다', 'Verb'), ('두다', 'Verb'), ('꽁초', 'Noun'), ('를', 'Josa'), ('피우다', 'Verb'), (')', 'Punctuation'), ('박박', 'Adverb'), ('깎다', 'Verb'), ('이발', 'Noun'), ('삯', 'Noun'), ('25', 'Number'), ('전과', 'Noun')]","['담배', '단풍', '표', '서른', '곽', '만약', '크다', '달이다', '치면', '하루', '모으다', '두다', '꽁초', '피우다', '깎다', '이발', '삯', '전과']"
2818,목간삯 7전과 이런 것이 경 상비요,"[('목간', 'Noun'), ('삯', 'Noun'), ('7', 'Number'), ('전과', 'Noun'), ('이렇다', 'Adjective'), ('것', 'Noun'), ('이', 'Josa'), ('경', 'Noun'), ('상비', 'Noun'), ('요', 'Josa')]","['목간', '삯', '전과', '이렇다', '것', '경', '상비']"
2819,임시비로는 가장 하길의 피복대와 10전 미만의 통신비가 있을 따름 입니다.,"[('임시', 'Noun'), ('비', 'Noun'), ('로는', 'Josa'), ('가장', 'Noun'), ('하다', 'Verb'), ('피복', 'Noun'), ('대', 'Suffix'), ('와', 'Josa'), ('10', 'Number'), ('전', 'Noun'), ('미만', 'Noun'), ('의', 'Josa'), ('통신비', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('따름', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['임시', '비', '가장', '하다', '피복', '전', '미만', '통신비', '있다', '따름', '이다']"
2820,그는 그러한 중에서도 주인 윤직원 영감의 살림이나 사업에 드는 비용은 물론 이거니와,"[('그', 'Noun'), ('는', 'Josa'), ('그러하다', 'Adjective'), ('중', 'Noun'), ('에서도', 'Josa'), ('주인', 'Noun'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('의', 'Josa'), ('살림', 'Noun'), ('이나', 'Josa'), ('사업', 'Noun'), ('에', 'Josa'), ('들다', 'Verb'), ('비용', 'Noun'), ('은', 'Josa'), ('물론', 'Adverb'), ('이다', 'Verb')]","['그', '그러하다', '중', '주인', '윤직', '영감', '살림', '사업', '들다', '비용', '이다']"
2821,그대도록 바닥이 맑아,"[('그대', 'Noun'), ('도록', 'Noun'), ('바닥', 'Noun'), ('이', 'Josa'), ('맑다', 'Adjective')]","['그대', '도록', '바닥', '맑다']"
2822,빠안히 들여다보이는 제 비용도,"[('빠안히', 'Noun'), ('들여다보다', 'Verb'), ('제', 'Noun'), ('비용', 'Noun'), ('도', 'Josa')]","['빠안히', '들여다보다', '제', '비용']"
2823,가다간 용하게 재주를 부려서 뻐젓하니 절약을 해내곤 합니다.,"[('가다', 'Verb'), ('용하다', 'Adjective'), ('재주', 'Noun'), ('를', 'Josa'), ('부리다', 'Verb'), ('뻐젓하', 'Noun'), ('니', 'Josa'), ('절약', 'Noun'), ('을', 'Josa'), ('해내다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['가다', '용하다', '재주', '부리다', '뻐젓하', '절약', '해내다', '하다']"
2824,가령 쉬운 예를 들자면,"[('가령', 'Noun'), ('쉽다', 'Adjective'), ('예', 'Noun'), ('를', 'Josa'), ('들다', 'Verb')]","['가령', '쉽다', '예', '들다']"
2825,이런 것도 있읍니다.,"[('이렇다', 'Adjective'), ('것', 'Noun'), ('도', 'Josa'), ('있다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['이렇다', '것', '있다', '읍니']"
2826,대복이는 한 달에 한번씩 반드시(!) 목간을 하는데,"[('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('하다', 'Verb'), ('달', 'Noun'), ('에', 'Josa'), ('한번', 'Noun'), ('씩', 'Suffix'), ('반드시', 'Noun'), ('(!)', 'Punctuation'), ('목간', 'Noun'), ('을', 'Josa'), ('하다', 'Verb')]","['복', '하다', '달', '한번', '반드시', '목간', '하다']"
2827,그 비용은 물론 7 전입 니다.,"[('그', 'Noun'), ('비용', 'Noun'), ('은', 'Josa'), ('물론', 'Adverb'), ('7', 'Number'), ('전입', 'Noun'), ('니다', 'Eomi'), ('.', 'Punctuation')]","['그', '비용', '전입']"
2828,비누를 쓰지 않으니까 꼭 7전 외에는 수건이나 해지면 해졌지,"[('비누', 'Noun'), ('를', 'Josa'), ('쓰다', 'Verb'), ('않다', 'Verb'), ('꼭', 'Noun'), ('7', 'Number'), ('전', 'Noun'), ('외', 'Noun'), ('에는', 'Josa'), ('수건', 'Noun'), ('이나', 'Josa'), ('해지', 'Noun'), ('면', 'Josa'), ('하다', 'Verb')]","['비누', '쓰다', '않다', '꼭', '전', '외', '수건', '해지', '하다']"
2829,다른 것은 더 들 게 없읍니다.,"[('다른', 'Noun'), ('것', 'Noun'), ('은', 'Josa'), ('더', 'Noun'), ('들다', 'Verb'), ('게', 'Noun'), ('없다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['다른', '것', '더', '들다', '게', '없다', '읍니']"
2830,그런데 언젠가는 그 한 달에 한 번씩 하던 그 목간을 약간 늦추어,"[('그런데', 'Conjunction'), ('언젠가', 'Adverb'), ('늘다', 'Verb'), ('그', 'Noun'), ('하다', 'Verb'), ('달', 'Noun'), ('에', 'Josa'), ('하다', 'Verb'), ('번', 'Noun'), ('씩', 'Suffix'), ('하다', 'Verb'), ('그', 'Noun'), ('목간', 'Noun'), ('을', 'Josa'), ('약간', 'Noun'), ('늦추다', 'Verb')]","['늘다', '그', '하다', '달', '하다', '번', '하다', '그', '목간', '약간', '늦추다']"
2831,한 달하고 닷새 즉 35일 만에 한번씩 해보았읍니다.,"[('하다', 'Verb'), ('달', 'Noun'), ('하고', 'Josa'), ('닷새', 'Noun'), ('즉', 'Noun'), ('35일', 'Number'), ('만에', 'Josa'), ('한번', 'Noun'), ('씩', 'Suffix'), ('해보다', 'Verb'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['하다', '달', '닷새', '즉', '한번', '해보다', '읍니']"
2832,그렇게 하기를 여섯 번을 한 결과로는 매번 닷새씩 아낀 것으로 해서 일곱 달 동안에 여섯 번의 목간을 했고,"[('그렇게', 'Adverb'), ('하다', 'Verb'), ('여섯', 'Noun'), ('번', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('결과', 'Noun'), ('로는', 'Josa'), ('매번', 'Noun'), ('닷새', 'Noun'), ('씩', 'Suffix'), ('아끼다', 'Verb'), ('것', 'Noun'), ('으로', 'Josa'), ('하다', 'Verb'), ('일곱', 'Noun'), ('달', 'Noun'), ('동안', 'Noun'), ('에', 'Josa'), ('여섯', 'Noun'), ('번의', 'Noun'), ('목간', 'Noun'), ('을', 'Josa'), ('하다', 'Verb')]","['하다', '여섯', '번', '하다', '결과', '매번', '닷새', '아끼다', '것', '하다', '일곱', '달', '동안', '여섯', '번의', '목간', '하다']"
2833,동시에 한 달 목간삯 7전을 절약하는 데 성공을 했읍니다.,"[('동시', 'Noun'), ('에', 'Josa'), ('하다', 'Verb'), ('달', 'Noun'), ('목간', 'Noun'), ('삯', 'Noun'), ('7', 'Number'), ('전', 'Noun'), ('을', 'Josa'), ('절약', 'Noun'), ('하다', 'Verb'), ('데', 'Noun'), ('성공', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['동시', '하다', '달', '목간', '삯', '전', '절약', '하다', '데', '성공', '하다', '읍니']"
2834,이 성과를 거둔 날의 대복이는 대단히 유쾌했읍니다.,"[('이', 'Noun'), ('성과', 'Noun'), ('를', 'Josa'), ('거두다', 'Verb'), ('날', 'Noun'), ('의', 'Josa'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('대단하다', 'Adjective'), ('유쾌하다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['이', '성과', '거두다', '날', '복', '대단하다', '유쾌하다', '읍니']"
2835,진실로 입신( 入神) 의 묘기( 妙技) 로 추앙해도 아깝지 않습니다.,"[('진실로', 'Adverb'), ('입신', 'Noun'), ('(', 'Punctuation'), ('入神', 'Foreign'), (')', 'Punctuation'), ('의', 'Noun'), ('묘기', 'Noun'), ('(', 'Punctuation'), ('妙技', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('추앙', 'Noun'), ('하다', 'Verb'), ('아깝다', 'Adjective'), ('않다', 'Verb'), ('.', 'Punctuation')]","['입신', '의', '묘기', '로', '추앙', '하다', '아깝다', '않다']"
2836,고향에서는 그의 과히 늙지는 않은 양친이 윤직원 영감네 땅을 부쳐 먹고지내면서 그다지 고생은 않습니다.,"[('고향', 'Noun'), ('에서는', 'Josa'), ('그', 'Noun'), ('의', 'Josa'), ('과', 'Noun'), ('히', 'Adverb'), ('늙다', 'Verb'), ('않다', 'Verb'), ('양친', 'Noun'), ('이', 'Josa'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('네', 'Josa'), ('땅', 'Noun'), ('을', 'Josa'), ('부치다', 'Verb'), ('먹고다', 'Verb'), ('그다지', 'Noun'), ('고생', 'Noun'), ('은', 'Josa'), ('않다', 'Verb'), ('.', 'Punctuation')]","['고향', '그', '과', '늙다', '않다', '양친', '윤직', '영감', '땅', '부치다', '먹고다', '그다지', '고생', '않다']"
2837,아내가 고향에서 시부모를 섬기고 있었는데,"[('아내', 'Noun'), ('가', 'Josa'), ('고향', 'Noun'), ('에서', 'Josa'), ('시부모', 'Noun'), ('를', 'Josa'), ('섬기다', 'Verb'), ('있다', 'Adjective')]","['아내', '고향', '시부모', '섬기다', '있다']"
2838,연전에 죽었고,"[('연전', 'Noun'), ('에', 'Josa'), ('죽다', 'Verb')]","['연전', '죽다']"
2839,그래 대 복이는 시방 홀애빕니다.,"[('그렇다', 'Adjective'), ('대다', 'Verb'), ('복', 'Noun'), ('이', 'Suffix'), ('는', 'Josa'), ('시방', 'Noun'), ('홀애', 'Noun'), ('비다', 'Verb'), ('.', 'Punctuation')]","['그렇다', '대다', '복', '시방', '홀애', '비다']"
2840,죽은 아내가 불쌍하고,"[('죽다', 'Verb'), ('아내', 'Noun'), ('가', 'Josa'), ('불쌍하다', 'Adjective')]","['죽다', '아내', '불쌍하다']"
2841,시골 살림이 각다분하고,"[('시골', 'Noun'), ('살림', 'Noun'), ('이', 'Josa'), ('각', 'Modifier'), ('다분', 'Noun'), ('하고', 'Josa')]","['시골', '살림', '다분']"
2842,홀애비 신세가 초라하고 하기는 하지만,"[('홀애비', 'Noun'), ('신세', 'Noun'), ('가', 'Josa'), ('초라하다', 'Adjective'), ('하기는', 'Adverb'), ('하지만', 'Conjunction')]","['홀애비', '신세', '초라하다']"
2843,그런 걸 전화위복이라고,"[('그렇다', 'Adjective'), ('걸', 'Noun'), ('전화위복', 'Noun'), ('이라고', 'Josa')]","['그렇다', '걸', '전화위복']"
2844,과연 복이 될는지 무엇이 될는지 아직 은 몰라도,"[('과연', 'Noun'), ('복', 'Noun'), ('이', 'Josa'), ('되다', 'Verb'), ('무엇', 'Noun'), ('이', 'Josa'), ('되다', 'Verb'), ('아직', 'Adverb'), ('은', 'Noun'), ('모르다', 'Verb')]","['과연', '복', '되다', '무엇', '되다', '은', '모르다']"
2845,복이려니 하는 대망을 아뭏든 홀애비가 된 그걸로 해서 품을 수만은 있게 되었던 것입니다.,"[('복', 'Noun'), ('이', 'Determiner'), ('려니', 'Noun'), ('하다', 'Verb'), ('대망', 'Noun'), ('을', 'Josa'), ('아뭏', 'Noun'), ('든', 'Josa'), ('홀애비', 'Noun'), ('가', 'Josa'), ('되다', 'Verb'), ('그', 'Determiner'), ('걸', 'Noun'), ('로', 'Josa'), ('하다', 'Verb'), ('품', 'Noun'), ('을', 'Josa'), ('수만', 'Noun'), ('은', 'Josa'), ('있다', 'Adjective'), ('되어다', 'Verb'), ('것', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['복', '려니', '하다', '대망', '아뭏', '홀애비', '되다', '걸', '하다', '품', '수만', '있다', '되어다', '것', '이다']"
2846,대복이 그가 임자 없는 사내인 것과 일반으로 안에는 시방 임자 없는 여편네 서울아씨가 있어서,"[('대', 'Modifier'), ('복', 'Noun'), ('이', 'Josa'), ('그', 'Noun'), ('가', 'Josa'), ('임자', 'Noun'), ('없다', 'Adjective'), ('사내', 'Noun'), ('인', 'Josa'), ('것', 'Noun'), ('과', 'Josa'), ('일반', 'Noun'), ('으로', 'Josa'), ('안', 'Noun'), ('에는', 'Josa'), ('시방', 'Noun'), ('임자', 'Noun'), ('없다', 'Adjective'), ('여편네', 'Noun'), ('서', 'Modifier'), ('울', 'Modifier'), ('아씨', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective')]","['복', '그', '임자', '없다', '사내', '것', '일반', '안', '시방', '임자', '없다', '여편네', '아씨', '있다']"
2847,우선 임자 없는 기집 사내가 주객이 되었다는 것이 가히 원칙적으로는 그 둘은 합쳐줄 조건이 되던 것입니다.,"[('우선', 'Noun'), ('임자', 'Noun'), ('없다', 'Adjective'), ('기', 'Modifier'), ('집', 'Noun'), ('사내', 'Noun'), ('가', 'Josa'), ('주객', 'Noun'), ('이', 'Josa'), ('되어다', 'Verb'), ('것', 'Noun'), ('이', 'Josa'), ('가히', 'Adverb'), ('원칙', 'Noun'), ('적', 'Suffix'), ('으로는', 'Josa'), ('그', 'Noun'), ('둘', 'Noun'), ('은', 'Josa'), ('합치다', 'Verb'), ('조건', 'Noun'), ('이', 'Josa'), ('되다', 'Verb'), ('것', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['우선', '임자', '없다', '집', '사내', '주객', '되어다', '것', '원칙', '그', '둘', '합치다', '조건', '되다', '것', '이다']"
